titre_flux;mot_cle_flux;Nb matched doc (full matched)
abst10;Abstract,access,accumulateur,acknowledge,active,admin,adress,adobe,alias,alimentation;6
back10;backup,balancing,bande,bandwidth,base,bastion,batch,baude,beta,binary;6
cabl10;cable,cache,calculateur,capacity,caracter,catch,centrino,channel,char,chipset;6
data10;data,decodage,deconnectable,decoupage,default,definition,dialer,digital,diode,discwizard;6
emot10;emoticon,emulation,encryption,electronic,email,encre,equation,equilibrage,equipement,error;6
fail10;faillure,fedora,feed,facebook,fiber,filename,folder,filter,final,firefox;6
game10;game,general,generator,geolocalisation,gnutella,ghost,gigabyte,google,gossip,graphic;6
hack10;hacker,hameconnage,hardware,hash,hebergement,hertz,hexadecimal,high,host,hybride;6
iden10;identity,impedance,implement,import,iteration,input,information,index,infrastructure,installation;6
jack10;jack,java,javacript,jazz,jeton,jonction,joule,journal,j2ee,jabber;6
kerb10;kerberos,kerning,keyboard,keyword,kilo,kindle,kingston,kmean,kirchhoff,kit;6
lang10;langage,laptop,laser,latence,lecteur,lifo,lightshow,link,linux,load;6
macr10;macromedia,main,manageable,masque,mathematic,matrice,maximum,memoire,mesh,mageia;6
navi10;navigateur,netBeui,netBios,netburst,netscape,network,node,northbridge,notepad,numeric;6
obje10;objective,obsolete,octet,office,onduleur,opal,open,operating,operationnel,optic;6
pack10;pack,package,page,pageRank,parallal,parity,part,partage,partition,pascal;6
quad10;quadCore,quality,quartz,query,question,queue,quiz,quicktime,quota,qwerty;6
raid10;raid,rambus,random,reactance,redhat,readme,repeat,repository,regexp,repertoire,;6
sata10;sata,sauvegarde,scanner,scheduler,screen,script,scanf,seaMonkey,scalability,seed;6
tabl10;table,tableur,taille,technologie,telephone,template,trigger,telnet,testbed,timestamp;6
ubun10;ubuntu,ultra,uml,undo,unicode,umount,upgrade,upload,universal,ultrabook;6
vali10;validate,vector,version,video,virtual,virus,vision,variable,vertex,verrou;6
watc10;watchdog,wave,webmaster,while,wifi,workshop,wallpaper,webographie,webcast,wikipedia;6
xamp10;xamp,xhtml,xml,xslt,Xinerama,xserveur,xinerama,Xemacs,xeon,Xerox;6
yaho10;yahoo,yam,yobi,yencoder,yaml,yaba,yamsi,yunix,yosemit,yobioctet;6
zebi10;zebi,zero,zetta,zipf,Zuckerberg,zipdump,zend,zigbee,zikdisk,zombie;6
Abai10;Abaisser,Abandonner,Abceder,Abdiquer,Aberrer,Abhorrer,Abimer,Abjurer,Ablater,Abominer,;6
Babi10;Babiller,Baboler,Bacher,Bachoter,Bacler,Badauder,Bader,Badger,Badigeonner,Badiner;6
Caba10;Cabaler,Cabaner,Cabler,Cabosser,Caboter,Cabotiner,Cabrer,Cabrioler,Cacaber,Cacarder;6
Dact10;Dactylographier,Daguer,Daigner,Daller,Damasquiner,Damasser,Damer,Damner,Dandiner,Danser;6
Ebar10;Ebarber,Ebaucher,Ebavurer,Eberluer,Ebiseler,Eborgner,Ebouer,Ebouillanter,Ebouler,Ebourgeonner;6
Fabr10;Fabriquer,Fabuler,Facetter,Facher,Faciliter,Faconner,Factoriser,Facturer,Fader,Fagoter;6
Gabi10;Gabionner,Gacher,Gadgetiser,Gadrouiller,Gaffer,Gager,Gagner,Gainer,Galber,Galejer;6
Habi10;Habiliter,Habiller,Habiter,Habituer,Habler,Hacher,Hachurer,Halener,Haler,Haleter;6
Idea10;Idealiser,Identifier,Idiotifier,Idolatrer,Ignifuger,Ignorer,Illuminer,Illusionner,Illustrer,Illuter;6
Jabl10;Jabler,Jaboter,Jacasser,Jacter,Jalonner,Jalouser,Japoniser,Japper,Jardiner,Jargonner;6
Kaol10;Kaoliniser,Keratiniser,Kibitzer,Kidnapper,Kifer,Kiffer,Kilometrer,Klaxonner,Koter,Kaleidoscoper;6
Labe10;Labeliser,Labelliser,Labialiser,Labourer,Lacer,Lacerer,Lacher,Laiciser,Lainer,Langer;6
Maca10;Macadamiser,Macher,Machiner,Maculer,Madrigaliser,Maffioter,Magnifier,Manufacturer,Mapper,Maquetter;6
Nacr10;Nacrer,Nanifier,Narcotiser,Nationaliser,Neutraliser,Naufrager,Navaliser,Navigabiliser,Neiger,Nettoyer;6
Alli10;Alliance,alpha,alternatif,ampli,antivirus,apache,application,architecture,assembleur,assert;1
bipo10;bipolaire,block,blog,bluetooth,boink,boolean,boot,basic,bios,bigdata;1
clas10;class,click,client,clock,CodeBlock,ccleaner,casandra,clipart,cloud,computing;1
dist10;distribute,document,double,downLoad,dataset,datacenter,dreamweaver,dotnet,digicode,database;1
escl10;esclave,ethernet,excel,exception,extranet,ebay,elastique,entite,eprom,engineering;1
fire10;fireware,flash,float,flow,function,fonctionning,format,fichier,fat32,fifo;1
grou10;groupe,gataway,gamma,ghostware,ghostscript,gnuplot,gratuiciel,guest,goto,gprs;1
hype10;hyperthreading ,https,hybernate,helvetica,hewlettPackard,hashing,handover,handler,hamming,holographie;1
inst10;instance,integrated,intel,interface,internet,interruption,illustrator,ibook,igoogle,ifconfig;1
java10;javabean,javascript,jumper,jython,jointure,jukebox,junkmail,jolicloud,jumbopatch,junckware;1
kyle10;kyle ,keygen,konqueror,keylogger,kubuntu,kickoff,kazaa,kademlia,karnaugh,kernelspace;1
loca10;localhost,libreOffice,latex,lexmark,lookup,loop,logout,logigramme,livescript,logitech;1
mand10;mandriva,mainframe,mashup,macbook,matlab,macintosh,metadata,megaupload,metalangage,metawebBlog;1
name10;name,netware,newsgroup,newsletter,nunux,nyquist,nslookup,noosphere,nosql,netflix;1
opto10;optocoupleur,onglet,online,offline,offset,oledb,openSource,output,outsourcing,overlay;1
passe10;passe,path,python,passerelle,password,pathname,pattern,paypal,parefeu,pentium;1
quak10;quake,qos,quickcam,quadbit,qword,qwertyuiop,quantifier,quickdraw,qrcode,quxga;1
rese10;reset,roaming,routeur,rollback,runtime,repartiteur,retroEngeneering,roundRobin,rss,rom;1
sgbd10;sgbd,sgml,sha,shell,shareware,skipnet,short,simulateur,socket,spam;1
texm10;texmaker,thread,thumbnail,Tomcat,touchpad,tutorial,trojan,twitter,terminal,transistor;1
unic10;unicast,unix,utf,user,ultrium,umts,underscore,ultrabook,usb,updater;1
verN10;verNum,viadeo,vista,vbscript,vcard,videocast,vmware,voip,void,vlan;1
whil10;while,wrapper,webcam,webmail,workgroup,wireless,wamp,wimax,windows,www;1
xlin10;xlink,xinput,xubuntu,xBase,xargs,xbox,xcard,xpath,Xenix,XORed;1
York10;Yorkfield,youtube,yencoder,yonah,ylod,ymck,yum,yottaoctet,Yorkfield,YellowPages;1
zett10;zettabyte,zuse,Zimmerman,zilog,zaoutelouquerie,zicos,ZRTP,zebioctet,zeroconf,Zaxxon;1
Abon10;Abonder,Abonner,Aborder,Aborner,Aboucher,Abouler,Abouter,Aboyer,acheter,activer;1
Baff10;Baffer,Bafouer,Bafouiller,Bafrer,Bagarrer,Baguenauder,Baguer,bavarder,balancer,bastonner;1
Cach10;Cacher,Cacheter,Cachetonner,Cadastrer,Cadeauter,Cadenasser,Cadencer,Cadmier,Cadrer,consolider;1
Dans10;Dansoter,Dansotter,Darder,Dater,Dauber,Deambuler,deplorer,Desenfumer,diluer,Diriger;1
Ebou10;Ebouriffer,Ebourrer,Ebouter,Ebrancher,Ebranler,Ebraser,Engorger,Entrer,Empoisonner,Envier;1
Fail10;Failler,Faineanter,Faisander,Falsifier,Faluner,Filmer,Fixer,Flacher,Friser,Foirer;1
Gale10;Galerer,Galeter,Galipoter,Galonner,Galoper,Galvaniser,Galvauder,Gambader,Gamberger,Gratiner;1
Hall10;Halluciner,Halogener,Hameconner,Hancher,Handicaper,Hannetonner,Heurter,Hiberner,Huer,Huiler;1
Imag10;Imager,Imaginer,Imbiber,Imbriquer,Imiter,Insculper,Insensibiliser,Inserer,Insecuriser,Inseminer;1
Jarr10;Jarreter,Jaser,Journaliser,Jouter,Jouxter,Jubiler,Jucher,Joncer,Jongler,Jordonner;1
Knou10;Knouter,KnockOuter,Klaxonne1,Kilometrer,Kiffer,Kifer,Kidnapper,Kibitzer,Keratiniser,Kaoliniser;1
Larg10;Larguer,Lanterner,Larder,Lapider,Lansquiner,Laquer,Lapiner,Langueter,Lardonner,Lantiponner;1
Marc10;Marchandailler,Marginaliser,Mesurer,Meubler,Missionner,Missionner,Mobiliser,Moderniser,Motoriser,Mutualiser;1
Nich10;Nicher,Niqueter,Niveler,Noctambuler,Normaliser,Nombrer,Nominer,Nouer,Novelliser,Nuancer;1